Hubs,Longitude,Lattitude
1,-86.54104179,34.69127036
2,-87.43763689,32.19889815
3,-109.7624545,34.54716186
4,-92.15377144,37.55027243
5,-91.37911203,35.3222601
6,-92.92238834,32.84100399
7,-122.6077763,42.78537193
8,-117.8672652,37.35318904
9,-104.1722255,38.80655509
10,-105.3258232,42.37795596
11,-103.0533022,35.75529926
12,-70.86663101,44.15669961
13,-75.50227494,38.99784197
14,-82.74892555,29.8235673
15,-81.80046064,34.99214565
16,-118.7682043,45.55310426
17,-113.6068164,40.88743766
18,-110.5891696,44.70687596
19,-89.0011284,43.59413569
20,-88.57455454,40.3736669
21,-88.23603876,37.66448628
22,-85.32635096,41.38679881
23,-85.59231179,38.63156004
24,-98.43040512,43.03420757
25,-93.04587003,42.73091264
26,-90.36607257,45.10509679
27,-96.76963545,40.02857509
28,-93.23973476,39.98502093
29,-99.16949853,40.90407661
30,-96.55458775,37.31556415
31,-83.19830867,37.11229948
32,-90.89703103,30.81442736
33,-95.04895002,30.79234935
34,-79.7584806,39.93485381
35,-78.11193844,38.02845301
36,-84.59302341,43.68093476
37,-94.26125654,46.65315548
38,-89.78900718,33.98961532
39,-108.6526739,47.63124944
40,-76.46411252,40.92393988
41,-76.04372989,42.82306514
42,-81.09667887,34.1128776
43,-77.93781469,35.30798768
44,-98.54215756,47.20354843
45,-101.7382439,45.78095718
46,-82.70580238,40.02817883
47,-97.36308559,33.56790742
48,-100.5257591,30.55257508
