group,hub,Latitude,Longitude
20,1,42.5888293,-85.847931
20,2,40.8423769,-89.1455236
20,3,41.5867864,-91.9169699
20,4,38.3702014,-88.6071352
20,5,39.3810766,-92.8529668
20,6,39.9590101,-82.5065139
20,7,40.0408225,-86.0151217
20,8,43.4846509,-83.5768977
20,9,45.7340502,-97.226894
20,10,42.4938897,-95.1638624
20,11,46.4894676,-94.4974182
20,12,39.2061797,-96.5397579
20,13,38.4209992,-99.9107239
20,14,37.4255147,-92.7516341
20,15,41.4560446,-100.5003664
20,16,45.4103375,-87.5612592
20,17,45.8976095,-91.4167541
20,18,43.8884404,-100.4832317
20,19,47.2910174,-101.6765466
