fips,CO_Fips,names,co_name,state_abrv,co_state,yield_bpa,land_limits_acre,land_cost_dpa
17001,1,Adams County,Adams,IL,Adams_IL,168.1,133000,6506
17003,3,Alexander County,Alexander,IL,Alexander_IL,144.2,3500,3423
17005,5,Bond County,Bond,IL,Bond_IL,183.8,62000,6874
17007,7,Boone County,Boone,IL,Boone_IL,179,64700,7811
17009,9,Brown County,Brown,IL,Brown_IL,165.5,5000,5598
17011,11,Bureau County,Bureau,IL,Bureau_IL,179.9,213500,8219
17013,13,Calhoun County,Calhoun,IL,Calhoun_IL,170.9,18500,4189
17015,15,Carroll County,Carroll,IL,Carroll_IL,206.1,133000,8039
17017,17,Cass County,Cass,IL,Cass_IL,205.6,81600,6398
17019,19,Champaign County,Champaign,IL,Champaign_IL,180.8,275000,9317
17021,21,Christian County,Christian,IL,Christian_IL,198.7,195000,8638
17023,23,Clark County,Clark,IL,Clark_IL,165.5,5000,5708
17025,25,Clay County,Clay,IL,Clay_IL,140.5,65500,5121
17027,27,Clinton County,Clinton,IL,Clinton_IL,181.9,87100,6928
17029,29,Coles County,Coles,IL,Coles_IL,184,118500,7875
17031,31,Cook County,Cook,IL,Cook_IL,174,1000,20635
17033,33,Crawford County,Crawford,IL,Crawford_IL,146.3,78000,5254
17035,35,Cumberland County,Cumberland,IL,Cumberland_IL,161.6,66200,6344
17037,37,DeKalb County,DeKalb,IL,DeKalb_IL,188.8,157000,9420
17039,39,De Witt County,DeWitt,IL,DeWitt_IL,165.5,5000,8387
17041,41,Douglas County,Douglas,IL,Douglas_IL,193.6,115500,9071
17043,43,DuPage County,DuPage,IL,DuPage_IL,165.5,5000,16807
17045,45,Edgar County,Edgar,IL,Edgar_IL,165.5,5000,7425
17047,47,Edwards County,Edwards,IL,Edwards_IL,165.5,5000,5372
17049,49,Effingham County,Effingham,IL,Effingham_IL,173.9,82600,6603
17051,51,Fayette County,Fayette,IL,Fayette_IL,166.2,98900,5398
17053,53,Ford County,Ford,IL,Ford_IL,168.6,137500,7769
17055,55,Franklin County,Franklin,IL,Franklin_IL,135.6,26300,4460
17057,57,Fulton County,Fulton,IL,Fulton_IL,175.8,129500,6193
17059,59,Gallatin County,Gallatin,IL,Gallatin_IL,166.4,64500,5307
17061,61,Greene County,Greene,IL,Greene_IL,191.7,106500,6184
17063,63,Grundy County,Grundy,IL,Grundy_IL,164,85700,8868
17065,65,Hamilton County,Hamilton,IL,Hamilton_IL,165.5,5000,4810
17067,67,Hancock County,Hancock,IL,Hancock_IL,165.5,5000,7091
17069,69,Hardin County,Hardin,IL,Hardin_IL,165.5,5000,3281
17071,71,Henderson County,Henderson,IL,Henderson_IL,193.2,91500,6961
17073,73,Henry County,Henry,IL,Henry_IL,187,197000,7902
17075,75,Iroquois County,Iroquois,IL,Iroquois_IL,152.6,306000,7348
17077,77,Jackson County,Jackson,IL,Jackson_IL,150.7,27300,5386
17079,79,Jasper County,Jasper,IL,Jasper_IL,174,98500,5634
17081,81,Jefferson County,Jefferson,IL,Jefferson_IL,129.3,30400,4158
17083,83,Jersey County,Jersey,IL,Jersey_IL,183.5,58300,6330
17085,85,Jo Daviess County,JoDaviess,IL,JoDaviess_IL,188.9,102000,6110
17087,87,Johnson County,Johnson,IL,Johnson_IL,165.5,5000,3701
17089,89,Kane County,Kane,IL,Kane_IL,175.8,56300,10558
17091,91,Kankakee County,Kankakee,IL,Kankakee_IL,165.5,5000,7822
17093,93,Kendall County,Kendall,IL,Kendall_IL,192.2,60200,9059
17095,95,Knox County,Knox,IL,Knox_IL,196.2,155500,7319
17097,97,Lake County,Lake,IL,Lake_IL,129,4900,12149
17099,99,LaSalle County,LaSalle,IL,LaSalle_IL,175.8,250000,9125
17101,101,Lawrence County,Lawrence,IL,Lawrence_IL,155.2,70900,5650
17103,103,Lee County,Lee,IL,Lee_IL,181.4,211500,8668
17105,105,Livingston County,Livingston,IL,Livingston_IL,178.8,267500,8230
17107,107,Logan County,Logan,IL,Logan_IL,194.2,181500,8380
17109,109,McDonough County,McDonough,IL,McDonough_IL,188.8,136000,7334
17111,111,McHenry County,McHenry,IL,McHenry_IL,165.5,5000,9541
17113,113,McLean County,McLean,IL,McLean_IL,198.8,325000,9844
17115,115,Macon County,Macon,IL,Macon_IL,204.4,148000,9250
17117,117,Macoupin County,Macoupin,IL,Macoupin_IL,183,182500,7195
17119,119,Madison County,Madison,IL,Madison_IL,198.3,99200,8706
17121,121,Marion County,Marion,IL,Marion_IL,153.1,65600,4885
17123,123,Marshall County,Marshall,IL,Marshall_IL,184.9,97300,8075
17125,125,Mason County,Mason,IL,Mason_IL,169,128000,6983
17127,127,Massac County,Massac,IL,Massac_IL,155.6,22600,3871
17129,129,Menard County,Menard,IL,Menard_IL,165.5,5000,7807
17131,131,Mercer County,Mercer,IL,Mercer_IL,188.1,138500,6551
17133,133,Monroe County,Monroe,IL,Monroe_IL,153.8,37100,6659
17135,135,Montgomery County,Montgomery,IL,Montgomery_IL,187.7,153000,7276
17137,137,Morgan County,Morgan,IL,Morgan_IL,205.8,132500,8247
17139,139,Moultrie County,Moultrie,IL,Moultrie_IL,189.4,87600,8737
17141,141,Ogle County,Ogle,IL,Ogle_IL,191.2,210000,8599
17143,143,Peoria County,Peoria,IL,Peoria_IL,193.4,100500,7892
17145,145,Perry County,Perry,IL,Perry_IL,165.5,5000,4782
17147,147,Piatt County,Piatt,IL,Piatt_IL,199.7,132500,9260
17149,149,Pike County,Pike,IL,Pike_IL,165.5,5000,5916
17151,151,Pope County,Pope,IL,Pope_IL,165.5,5000,3491
17153,153,Pulaski County,Pulaski,IL,Pulaski_IL,180.1,13800,4103
17155,155,Putnam County,Putnam,IL,Putnam_IL,165.5,5000,8372
17157,157,Randolph County,Randolph,IL,Randolph_IL,144.4,54200,5423
17159,159,Richland County,Richland,IL,Richland_IL,165.5,5000,5280
17161,161,Rock Island County,RockIsland,IL,RockIsland_IL,165.5,5000,6965
17163,163,St. Clair County,St.Clair,IL,St.Clair_IL,184.4,85900,7417
17165,165,Saline County,Saline,IL,Saline_IL,165.5,5000,4824
17167,167,Sangamon County,Sangamon,IL,Sangamon_IL,206.3,224000,8931
17169,169,Schuyler County,Schuyler,IL,Schuyler_IL,163.1,55800,5484
17171,171,Scott County,Scott,IL,Scott_IL,165.5,5000,6498
17173,173,Shelby County,Shelby,IL,Shelby_IL,174.9,167500,7047
17175,175,Stark County,Stark,IL,Stark_IL,202.9,91000,8314
17177,177,Stephenson County,Stephenson,IL,Stephenson_IL,195.6,166000,8424
17179,179,Tazewell County,Tazewell,IL,Tazewell_IL,205.6,141000,8272
17181,181,Union County,Union,IL,Union_IL,130.9,8400,4248
17183,183,Vermilion County,Vermilion,IL,Vermilion_IL,165.5,5000,8203
17185,185,Wabash County,Wabash,IL,Wabash_IL,156.2,44500,5533
17187,187,Warren County,Warren,IL,Warren_IL,194.1,154500,8092
17189,189,Washington County,Washington,IL,Washington_IL,167.4,86600,6422
17191,191,Wayne County,Wayne,IL,Wayne_IL,165.5,5000,4764
17193,193,White County,White,IL,White_IL,171.9,74800,4983
17195,195,Whiteside County,Whiteside,IL,Whiteside_IL,192,192000,7892
17197,197,Will County,Will,IL,Will_IL,165.5,5000,8888
17199,199,Williamson County,Williamson,IL,Williamson_IL,145.4,15100,3953
17201,201,Winnebago County,Winnebago,IL,Winnebago_IL,191.8,83000,7137
17203,203,Woodford County,Woodford,IL,Woodford_IL,183.6,122000,8972
18001,1,Adams County,Adams,IN,Adams_IN,170.1,40000,8274
18003,3,Allen County,Allen,IN,Allen_IN,181.4,53000,7950
18005,5,Bartholomew County,Bartholomew,IN,Bartholomew_IN,90.5,5000,6688
18007,7,Benton County,Benton,IN,Benton_IN,186,123000,7734
18009,9,Blackford County,Blackford,IN,Blackford_IN,90.5,5000,6605
18011,11,Boone County,Boone,IN,Boone_IN,177.4,72000,7621
18013,13,Brown County,Brown,IN,Brown_IN,90.5,5000,4390
18015,15,Carroll County,Carroll,IN,Carroll_IN,194.6,93000,7539
18017,17,Cass County,Cass,IN,Cass_IN,90.5,5000,6243
18019,19,Clark County,Clark,IN,Clark_IN,132.5,16300,5515
18021,21,Clay County,Clay,IN,Clay_IN,90.5,5000,5100
18023,23,Clinton County,Clinton,IN,Clinton_IN,90.5,5000,7169
18025,25,Crawford County,Crawford,IN,Crawford_IN,126.4,5600,3094
18027,27,Daviess County,Daviess,IN,Daviess_IN,168.4,84000,7620
18029,29,Dearborn County,Dearborn,IN,Dearborn_IN,129.4,5400,4861
18031,31,Decatur County,Decatur,IN,Decatur_IN,180,72000,7083
18033,33,DeKalb County,DeKalb,IN,DeKalb_IN,168.3,34000,5547
18035,35,Delaware County,Delaware,IN,Delaware_IN,157.6,52000,6633
18037,37,Dubois County,Dubois,IN,Dubois_IN,163.6,54500,5455
18039,39,Elkhart County,Elkhart,IN,Elkhart_IN,154.7,50000,11178
18041,41,Fayette County,Fayette,IN,Fayette_IN,177.3,35000,5656
18043,43,Floyd County,Floyd,IN,Floyd_IN,146.4,2900,5456
18045,45,Fountain County,Fountain,IN,Fountain_IN,90.5,5000,6732
18047,47,Franklin County,Franklin,IN,Franklin_IN,152.4,34700,5670
18049,49,Fulton County,Fulton,IN,Fulton_IN,172.6,87000,6312
18051,51,Gibson County,Gibson,IN,Gibson_IN,179,86000,6484
18053,53,Grant County,Grant,IN,Grant_IN,90.5,5000,7059
18055,55,Greene County,Greene,IN,Greene_IN,133.8,42000,4952
18057,57,Hamilton County,Hamilton,IN,Hamilton_IN,156.7,40000,8750
18059,59,Hancock County,Hancock,IN,Hancock_IN,138.2,47000,7543
18061,61,Harrison County,Harrison,IN,Harrison_IN,133.9,23000,4575
