,0,1,2
0,107595229257148.16,22574525066.211548,240319545691.32684
1,107597649152757.78,22567415775.88977,240328624401.99255
2,109448835219318.36,22432910152.264526,221162566664.6667
3,108063143543408.38,22719483989.4552,237375948236.07507
4,107602258080382.42,22559058152.315735,240319376392.3894
5,105987770413211.48,23842008586.19879,245711616998.78766
6,109406888834810.69,24327695906.854065,217210340556.8012
7,108096166056156.84,22686133433.70282,237675348790.91034
8,107605225265984.1,22553178640.491333,240324340776.4485
9,107375450244570.06,22411127034.601562,243533624817.9325
10,114987169518041.84,26916312809.27301,204446401039.8274
11,107485013866619.42,22729102475.87805,240456076572.4751
12,107753227466058.69,21745601490.674927,243899997126.21594
13,107597721675030.88,22567267023.89087,240328585441.73975
14,122350992596850.84,27605520131.64435,200062006668.22162
15,108351051750292.39,22255723832.59436,241783774235.28906
16,109453269859728.98,22426195029.05609,221162532053.31024
17,107602935329150.52,22557968663.50299,240318545757.1078
18,107529144646436.73,22676092169.5838,240463911248.90234
19,107485087600239.56,22728928891.896973,240456023664.0683
20,122433756854745.6,27442575252.640198,200068280607.31006
21,109406523818865.84,24328283121.69879,217210689305.23315
22,107485196211612.06,22728673198.572937,240455945728.72894
23,106850408507129.31,21980514196.532104,247963698237.96393
24,106448534416993.47,22422813669.0979,254290748325.91992
25,107718617984620.34,21837650537.446472,244219658807.50513
26,110146739798396.8,22803658197.187866,217722456720.16193
27,107619878601575.23,22499466562.442688,240453340044.03864
28,109409685976429.48,24324658516.976074,217213654432.85095
29,115023942005067.78,26858021913.281555,204439360869.8258
30,103029398498591.39,32690108856.632996,257811548858.29877
31,105896484172447.55,33728000693.624695,213077283337.89294
32,114003514620639.77,25272453628.11908,207618283021.27856
33,106009723227698.22,23801278067.07605,245732506954.45422
34,107620114231937.33,22498957634.18921,240453377645.83807
35,105989816980358.8,23838822177.851562,245713798460.1911
36,106297387457487.8,22892383468.34265,252180268019.19672
37,109189487920292.55,22478806117.276,223940464685.50916
38,106186485964156.08,25620417545.302795,227604934585.169
39,107553956415417.84,22592945680.438477,240652650000.18506
40,122351476921978.77,27604818511.874207,200062437607.46936
41,114987858437414.94,26914690952.551514,204446669948.82806
42,106629369084677.98,24463516919.29706,232583810957.38477
43,112537436898668.73,30486094155.533813,203151997916.56415
44,117285630256838.08,26728240382.12146,203063061665.6656
45,111976014245891.67,33626285614.913452,200696729855.58405
46,108383207959139.73,29220219806.03961,211828962642.4345
47,103031667932818.31,32686326046.676514,257815560856.44128
48,107720986800681.5,21832191509.005066,244219010096.9297
49,109004082415533.72,22862058380.764954,224790595463.80438
50,116321871423481.75,40675297209.650024,193198058296.904
51,102526579748158.97,38049146869.47333,222249967709.08063
52,108734959577786.27,35194818650.7749,204025085820.95
53,119198372174810.03,31485196177.147827,197780895686.7182
54,108360008165024.02,22233811546.767944,241857777827.41803
55,108351161031829.17,22255478779.236572,241783689212.3235
56,109426366293467.38,24297736241.101685,217240078624.8871
57,122435127665369.28,27439501341.381775,200069389518.0044
58,107642968209053.8,22488862326.074524,240286815931.41626
59,106163441069371.83,24238838607.530945,237093672958.58405
60,102169563381985.02,36234141415.47534,248802021804.7256
61,104346717637984.38,38518332377.94586,210860899440.89288
62,112326580947768.02,34907106185.2973,199113486997.43542
63,101711129487169.97,37025898104.90857,254211098803.21625
64,122448319393823.33,27397619810.580994,200190612502.0116
65,109628161148033.5,22156380595.315002,221176176865.87958
66,110149251207356.94,22800115405.317566,217724887732.97253
67,107501650360966.11,22709870122.0011,240470364887.28192
68,107620143760595.1,22499107382.028076,240453176764.701
69,103095296844189.16,32479330115.648743,258036085110.16724
70,106632757917528.67,24456798660.013977,232590479524.8391
71,109455884041537.97,22340679794.564514,222483418322.40137
72,109509544548570.72,24097088618.86487,217045287150.87512
73,108398168629887.84,41646134058.99036,198809025424.83643
74,116334772451403.34,41826601493.84509,192055995287.05005
75,109694333035606.72,22924449737.896545,218330474899.4925
76,120728791121155.89,31760415567.02954,197053967147.36987
77,106634370718073.72,24454359891.77948,232596418658.2293
78,105993475580430.94,23825880953.250427,245724625536.419
79,122351556968716.39,27604686448.848267,200062797689.2386
80,109592593726802.25,22235713982.075317,221186291133.70984
81,121085929863332.22,26621132892.77539,201833786418.14404
82,111059708533892.45,25010841394.33716,211351667261.93683
83,103024354761579.61,42012716782.20642,212106215629.01715
84,109012805251395.75,22928599722.054993,222296249867.1435
85,118045565424910.06,40097151312.55432,191702670091.66595
86,114766471794924.66,27180129417.830627,203140085580.51575
87,115972005050375.47,41886715857.3739,192109110270.44214
88,101714140961362.4,37020322988.556335,254215080696.24658
89,109426864302158.12,24296619504.40973,217240350997.4472
90,106463136302366.06,23233305176.7666,240234465786.74408
91,122433895430599.28,27442367529.315857,200068355543.3105
92,111126268792919.1,36277796418.14563,199391625195.91162
93,106624045707132.12,24469700754.599426,232579040100.02478
94,109099116693851.89,22654130314.055054,224752004298.3009
95,109028323098669.05,23228516140.98694,220765881895.06146
96,109978906232449.19,21383481420.963013,231432145496.21582
97,107124453129943.33,38626417637.992065,203166613475.0891
98,122102081961889.34,28101000443.158936,199586506686.5387
99,108506538645162.3,41993408459.87097,198567908232.01678
100,106653689944542.88,30126122645.82788,216331334142.60547
101,120839805053803.31,31840948292.63269,196383415104.7976
102,109751155955838.48,23245811420.830017,218091293319.86658
103,115029521385011.28,43251754940.597595,192965416638.80206
104,110031624766478.14,24973502376.284668,214093258606.77875
105,109131683744150.55,25093595939.038025,216714677770.47052
106,109540970353275.1,42238448134.45752,195438464228.86053
107,102232467289771.42,35812454447.07257,249136131180.3769
108,120788091844509.83,33794907746.04431,194462065518.42365
109,113880329924125.34,36642157776.031494,197296080306.06573
110,114767342336072.34,27178953472.568787,203140462255.44122
111,113380783653355.03,33004988260.889526,199671747601.1234
112,103039769410275.61,41981227054.15991,212132177961.01276
113,109109558674346.28,22616468923.706787,224763438623.40424
114,116338428648805.88,40650231020.213196,193212016113.154
115,109455949591494.44,22340561300.416687,222483493483.56665
116,109006789787360.34,22858955071.549194,224792657035.2688
117,110025492735710.58,21290657568.17914,231551268554.31256
118,107678638562754.73,22444039471.633728,240298316117.37134
119,110160899819475.75,21105771434.187073,231528944363.5905
120,104394711431997.64,28099922480.39795,260750539169.84045
121,115738316140751.27,31300953895.18805,199500429033.25922
122,109352697387593.25,22880621356.91034,220843164019.26025
123,117644945918187.36,35481574485.01318,195760488278.21057
124,110963825825887.8,25069323745.713684,211486059696.08978
125,103492607055971.83,40857800681.02637,210069201107.33997
126,107056327205690.16,22908128521.791992,236765397708.6266
127,116523530736433.4,42822286255.27118,189647338343.7099
128,104396051157424.2,28097901850.51776,260749713478.72766
129,108374395484891.05,22213591607.222107,241878756169.54657
130,114288327600247.75,36063525843.31714,196998160852.92877
131,114990376253167.8,26907384591.093384,204501687966.62006
132,103163970457219.16,32510731796.862427,252222198558.46796
133,120850419594353.6,31816486672.45587,196381233972.6657
134,109281702952795.9,24805982738.53589,216805911352.40387
135,103567517584916.48,40758368365.463745,210207984244.14667
136,110963810220563.31,25069349757.47296,211486041423.2594
137,122433128612442.97,27443832569.69391,200067133745.5771
138,108355488106319.1,22251325814.075256,241838428430.5144
139,108362766854362.5,22237627037.384155,241801202883.3228
140,106325884080082.42,22863471756.096497,252215944797.7633
141,112594884872568.38,36299948342.82013,197439929435.95386
142,115026674218415.42,26844204082.112732,204545894588.87646
143,107569345016473.11,38381497666.48987,202934575173.9165
144,107332654388684.89,35421105891.0246,205672097042.47925
145,109777617204012.14,26311399178.726074,212984917894.72247
146,103831148282378.52,31668279185.066162,235528137404.83643
147,109131998372474.7,25093045530.38611,216714786935.5398
148,110261811309559.89,22555985594.61151,217183798139.83673
149,116330875030456.92,41832503136.23926,192049285114.35065
150,115802061491713.25,31153572263.108948,199584738063.1292
151,114989397124177.17,26911808611.72589,204447254405.5221
152,109246086029205.23,23250948431.85193,220156595776.70892
153,105991428053071.52,23834047716.636963,245711998108.0916
